t,value
1597515515,2097152
1597515518,2097152
1597515521,2097152
1597515524,2097152
1597515527,2097152
1597515530,2097152
1597515533,2097152
1597515536,2097152
1597515539,2097152
1597515542,2097152
1597515545,2097152
1597515548,2097152
1597515551,2097152
1597515554,2097152
1597515557,2097152
1597515560,2097152
1597515563,2097152
1597515566,2097152
1597515569,2097152
1597515572,2097152
1597515575,2097152
1597515578,2097152
1597515581,2097152
1597515584,2097152
1597515587,2097152
1597515590,2097152
1597515593,2097152
1597515596,2097152
1597515599,2097152
1597515602,2097152
1597515605,2097152
1597515608,2097152
1597515611,2097152
1597515614,2097152
1597515617,2097152
1597515620,2097152
1597515623,2097152
1597515626,2097152
1597515629,2097152
1597515632,2097152
1597515635,2097152
1597515638,2097152
1597515641,2097152
1597515644,2097152
1597515647,2097152
1597515650,2097152
1597515653,2097152
1597515656,2097152
1597515659,2097152
1597515662,2097152
1597515665,2097152
1597515668,2097152
1597515671,2097152
1597515674,2097152
1597515677,2097152
1597515680,2097152
1597515683,2097152
1597515686,2097152
1597515689,2097152
1597515692,2097152
1597515695,2097152
1597515698,2097152
1597515701,2097152
1597515704,2097152
1597515707,2097152
1597515710,2097152
1597515713,2097152
1597515716,2097152
1597515719,2097152
1597515722,2097152
1597515725,2097152
1597515728,2097152
1597515731,2097152
1597515734,2097152
1597515737,2097152
1597515740,2097152
1597515743,2097152
1597515746,2097152
1597515749,2097152
1597515752,2097152
1597515755,2097152
1597515758,2097152
1597515761,2097152
1597515764,2097152
1597515767,2097152
1597515770,2097152
1597515773,2097152
1597515776,2097152
1597515779,2097152
1597515782,2097152
1597515785,2097152
1597515788,2097152
1597515791,2097152
1597515794,2097152
1597515797,2097152
1597515800,2097152
1597515803,2097152
1597515806,2097152
1597515809,2097152
1597515812,2097152
1597515815,2097152
1597515818,2097152
1597515821,2097152
1597515824,2097152
1597515827,2097152
1597515830,2097152
1597515833,2097152
1597515836,2097152
1597515839,2097152
1597515842,2097152
1597515845,2097152
1597515848,2097152
1597515851,2097152
1597515854,2097152
1597515857,2097152
1597515860,2097152
1597515863,2097152
1597515866,2097152
1597515869,2097152
1597515872,2097152
1597515875,2097152
1597515878,2097152
1597515881,2097152
1597515884,2097152
1597515887,2097152
1597515890,2097152
1597515893,2097152
1597515896,2097152
1597515899,2097152
1597515902,2097152
1597515905,2097152
1597515908,2097152
1597515911,2097152
1597515914,2097152
1597515917,2097152
1597515920,2097152
1597515923,2097152
1597515926,2097152
1597515929,2097152
1597515932,2097152
1597515935,2097152
1597515938,2097152
1597515941,2097152
1597515944,2097152
1597515947,2097152
1597515950,2097152
1597515953,2097152
1597515956,2097152
1597515959,2097152
1597515962,2097152
1597515965,2097152
1597515968,2097152
1597515971,2097152
1597515974,2097152
1597515977,2097152
1597515980,2097152
1597515983,2097152
1597515986,2097152
1597515989,2097152
1597515992,2097152
1597515995,2097152
1597515998,2097152
1597516001,2097152
1597516004,2097152
1597516007,2097152
1597516010,2097152
1597516013,2097152
1597516016,2097152
1597516019,2097152
1597516022,2097152
1597516025,2097152
1597516028,2097152
1597516031,2097152
1597516034,2097152
1597516037,2097152
1597516040,2097152
